"","lon","lat"
"374",-9.135404,39.4048977
"375",-82.9987942,39.9611755
"376",-81.6943605,41.49932
"377",39.1925048,21.485811
"378",121.0359174,14.5794443
"381",2.3522219,48.856614
"383",144.9630576,-37.8136276
"386",-97.7430608,30.267153
"387",10.540841,55.453087
"391",-5.8593267,43.3613953
"394",-110.9747108,32.2226066
"399",-80.4934035,41.2331116
"400",-95.895984,36.20652
"401",121.031126,14.656626
"404",-74.0059728,40.7127753
"405",-84.3365917,33.8651033
"407",-71.4531836,43.0407729
"408",-119.4179324,36.778261
"409",-84.5120196,39.1031182
"410",-90.7881835,14.3009252
"411",8.227512,46.818188
"414",121.5141615,13.8949151
"415",-6.0131301,37.3820725
"416",-78.6568942,21.4691137
"417",3.0175712,39.6952629
"418",-100.8709878,37.4567666
"419",53.847818,23.424076
"420",-69.9312117,18.4860575
"422",-79.3831843,43.653226
"424",-82.6015206,34.829838
"425",-79.5198696,8.9823792
"426",-111.5764087,40.2532608
"427",-73.7948516,40.7282239
"429",-73.298408,41.7040641
"431",-85.6811017,42.9851272
"432",-122.4345661,47.103988
"434",-60.0757751,-31.5799737
"435",-84.3490846,33.7171504
"436",-74.4056612,40.0583238
"442",119.8583772,16.2229069
"443",-8.7207268,42.2405989
"444",-84.4382721,10.391583
"447",-122.4781917,37.7236257
"448",-13.6787056,15.2478242
"449",-95.0761636,41.3175381
"453",-95.6282,36.9947
"462",-97.252623,32.692993
"463",-81.5157535,27.6648274
"464",-51.92528,-14.235004
"467",15.9819189,45.8150108
"468",7.2763314,51.636007
"470",-79.8968798,39.5614707
"471",-15.4362574,28.1235459
"474",-95.4112203,37.3456569
"475",-95.9759823,36.1144634
"476",3.16207,50.724993
"477",-111.0937311,34.0489281
"478",-76.4730122,37.0870821
"479",-96.5494529,34.7967543
"480",-117.1610838,32.715738
"481",121.3541631,17.4740422
"482",-68.5385941,-31.5351074
"483",-95.758949,18.7696195
"484",-81.3578859,41.1536674
"485",-43.2521507,-13.2786154
"487",-74.0059728,40.7127753
"488",111.126644,37.52069
"490",-82.9000751,32.1656221
"491",106.8060388,-6.5971469
"494",-78.7775113,42.9991334
"498",-84.2700179,37.8393332
"503",-78.6381787,35.7795897
"508",-74.2326478,40.7706187
"510",-73.6348643,40.6527534
"518",-70.6871091,19.7807686
"520",-80.083191,26.715168
"521",-76.7277919,39.319228
"522",-66.58973,6.42375
"526",-91.9623327,30.9842977
"527",-95.479764,36.31368
"528",-77.6105679,-11.1227218
"530",51.4388713,25.2522551
"531",-85.323214,51.253775
"535",121.7270206,17.6131813
"536",121.016508,14.5122739
"538",0.0042971,51.5462828
"539",-46.6653407,-23.566898
"542",-58.443832,-23.442503
"543",28.9783589,41.0082376
"545",-94.5930329,39.092828
"548",10.451526,51.165691
"550",-97.5341169,35.6041915
"556",-116.419389,34.9592083
"557",-83.950042,43.455315
"560",-82.1823746,41.452819
"562",-81.83569,41.3144966
"574",28.9783589,41.0082376
"576",121.0449768,14.7565784
"577",47.481766,29.31166
"580",20.4830078,44.8027987
"583",-60.6911836,-32.9310052
"584",-94.0970365,41.5522943
"585",-84.3879824,33.7489954
"587",-94.3821724,38.9108408
"590",-83.9207392,35.9606384
"591",-83.006594,40.0137338
"592",-78.8783689,42.8864468
"595",120.8785658,14.2456329
"596",121.1028546,14.65073
"597",-74.1331988,40.788434
"598",34.508523,-8.783195
"599",-76.8099041,18.0178743
"601",-44.5550308,-18.512178
"602",-77.3812715,38.8979888
"603",-72.458869,41.2815316
"604",-17.4676861,14.716677
"605",138.252924,36.204824
"608",-98.2062727,19.0414398
"611",-81.245657,41.7244885
"613",-57.9535657,-34.9204948
"615",-111.9044877,40.3301898
"617",-80.1878803,25.7811543
"619",-57.575926,-25.2637399
"620",-74.4056612,40.0583238
"622",121.774017,12.879721
"626",-122.55783,45.6355146
"631",-122.3210648,47.6191295
"632",-118,34.15
"640",-104.8202462,41.1399814
"641",121.0220422,13.8104423
"642",-66.3377522,-33.3017267
"643",-71.1550451,41.7014912
"644",-74.730345,45.0212762
"646",-87.2169149,30.421309
"647",-86.1349019,40.2671941
"648",-74.6407142,39.4503944
"649",-78.7890634,42.9774518
"650",-98.567682,33.8455299
"651",-83.7430378,42.2808256
"652",28.0473051,-26.2041028
"654",-16.2518467,28.4636296
"656",6.1757156,49.1193089
"657",-79.0867579,43.8384117
"662",-60.0217314,-3.1190275
"664",-75.8785348,8.750983
"665",-85.6023643,44.3148443
"666",-6.2603097,53.3498053
"669",-83.0457538,42.331427
"670",-86.5804473,35.5174913
"678",-64.62037,10.1908797
"681",-81.8045788,41.3983838
"683",-95.3295295,36.0296531
"684",-87.771964,41.909611
"687",-82.7079605,41.4489396
"688",-71.542969,-35.675147
"690",-63.7319581,-32.4255251
"693",-3.74922,40.463667
"697",-83.6538244,41.5628294
"698",-77.1622016,38.6001186
"699",-95.712891,37.09024
"700",-57.0858428,-29.7619121
"701",-8.4102573,40.2033145
"703",121.662532,16.9277583
"707",36.238414,30.585164
"708",50.1971381,26.2171906
"710",-57.5426106,-38.0054771
"711",-83.2454883,42.583645
"713",-3.7037902,40.4167754
"714",-87.9922684,15.5149204
"716",-105.2575101,20.7409351
"717",-34.9286096,-8.0522404
"720",-117.3958797,34.07029
"722",-86.9716741,34.8028661
"723",-74.0059728,40.7127753
"727",-119.4179324,36.778261
"731",26.6199587,-32.7663327
"740",-100.9693457,32.5273091
"741",-84.2472116,43.6155825
"743",-70.162651,18.735693
"749",-118.40503,34.1429799
"751",-95.712891,37.09024
"754",-97.554175,35.454597
"755",-46.5547852,-21.7695566
"757",-71.0588801,42.3600825
"759",-116.419389,34.9592083
"761",-78.7440921,42.7675323
"762",-122.2913078,37.8271784
"763",-117.9189742,33.8120918
"764",120.4588059,15.1241838
"766",-118.2436849,34.0522342
"767",-60.6442587,-32.9753753
"768",-95.6337879,37.0334011
"769",-73.8648268,40.8447819
"771",2.1228198,41.380896
"772",-78.3647361,40.5472909
"773",146.7565073,-19.3276927
"775",46.7104828,24.9397014
"778",28.9783589,41.0082376
"779",123.7437995,13.1390621
"780",125.5404203,11.4111146
"782",125.7406882,8.8014562
"788",-78.6903098,43.1706128
"789",-80.7645239,41.1017247
"797",-0.1277583,51.5073509
"807",29.9010138,31.197578
"810",-82.7137327,29.9232908
"813",-45.0186548,-23.371399
"816",-81.7981908,41.4819932
"817",-73.7517983,40.9278769
"818",-58.381715,-34.6037618
"819",-63.616672,-38.416097
"821",-66.1137767,17.9841328
"822",-122.5983981,49.2193226
"823",-97.155012,32.8809603
"824",-73.298408,41.7040641
"826",-111.9098869,40.8413797
"827",-89.4012302,43.0730517
"829",-77.9155395,35.7212689
"830",-98.4936282,29.4241219
"831",-71.4611882,42.991076
"832",-3.74922,40.463667
"833",120.2366297,14.8967937
"834",-122.5504041,47.2356536
"836",-95.9915346,36.1568902
"837",-73.5247785,45.6135469
"838",-64.183316,10.431916
"839",-95.3698028,29.7604267
"844",-43.1868592,-22.9697777
"845",-106.4850217,31.7618778
"847",-122.2711137,37.8043637
"848",-95.7099399,37.2248982
"850",-117.8531007,33.7879139
"859",-122.7094767,42.1945758
"861",-94.648437,38.954468
"872",-97.3307658,32.7554883
"877",-71.1334039,42.3648531
"878",47.481766,29.31166
"880",-93.6540066,42.0403568
"882",-117.5983823,34.0915415
"885",-46.9027629,-23.5280281
"886",-96.7631647,32.9418408
"888",-117.5872785,34.1072572
"889",-95.2773609,29.645346
"890",-81.4735257,28.4720521
"892",-98.3959291,34.6035669
"896",-74.2179326,43.2994285
"898",-68.6666508,44.9012197
"899",-93.7379667,36.4012037
"900",-96.7898034,46.8771863
"901",122.367428,11.6892241
"903",123.1948238,13.6217753
"905",-71.1631137,42.7070354
"906",-0.6307988,35.6970697
"909",-95.8821498,36.0631083
"919",-95.6166245,37.0359834
"923",121.0437003,14.6760413
"924",-46.6333094,-23.5505199
"925",-73.134961,40.789142
"927",-85.7584557,38.2526647
"928",-91.9623327,30.9842977
"929",-73.9710448,40.7503649
"930",2.3522219,48.856614
"931",-80.1172881,26.0192874
"932",-84.5013187,34.1739857
"934",-75.0246312,39.926813
"935",-88.0191182,44.5198149
"936",-90.1994042,38.6270025
"938",101.686855,3.139003
"939",-84.3640829,33.7589188
"940",-58.3815591,-34.6036844
"941",125.455341,7.190708
"942",-81.9179198,40.5545071
"943",-117.2899037,33.2109774
"944",-77.042754,-12.0463731
"945",-117.075986,32.510495
"946",-96.7969879,32.7766642
"947",-121.8946761,36.6002378
"948",-77.5734048,43.1222716
"949",-81.6943605,41.49932
"950",-96.9488945,32.8140177
"951",120.8154358,15.7698001
"954",-97.1066749,32.6711592
"955",-82.0190321,41.3894905
"956",-77.1945247,41.2033216
"957",21.745275,41.608635
"960",121.0198229,14.4793095
"961",-5.2508157,36.7209221
"962",-49.2648114,-16.6868982
"969",-0.1869644,5.6037168
"970",-111.987785,33.47215
"975",121.0589306,14.2958466
"976",-122.3301894,47.8788066
"977",-66.6325305,18.0082461
"979",-121.7951549,37.3821453
"986",-94.8757709,32.3862619
"991",116.4073963,39.9041999
"992",-81.4951731,41.0691567
"994",-99.6556653,19.2826098
"995",-76.9299748,40.3425876
"996",-88.3267107,36.3020023
"997",2.1734035,41.3850639
"998",-64.639968,18.420695
"1004",-74.0059728,40.7127753
"1005",125.6841178,7.3087068
"1006",-118.2436849,34.0522342
"1007",-81.404315,28.305235
"1009",-95.712891,37.09024
"1010",-91.707944,35.1941846
"1011",28.2292712,-25.7478676
"1012",-77.0368707,38.9071923
"1015",-90.2618068,18.931225
"1016",18.4240553,-33.9248685
"1020",1.858686,50.95129
"1028",-76.7115145,34.7214308
"1032",-84.16936,34.000384
"1033",-80.1373174,26.1224386
"1036",-155.5827818,19.8967662
"1039",3.3534866,46.4111073
"1040",121.8676464,16.9968391
"1041",121.0851097,14.5763768
"1044",-58.8306349,-27.4692131
"1046",120.9842195,14.5995124
"1047",-81.3792365,28.5383355
"1049",-99.5269926,29.6152274
"1050",-122.333481,47.602201
"1051",-122.6252431,45.5049376
"1052",-98.4280082,29.5187123
"1053",-90.1994042,38.6270025
"1054",-81.4398342,41.1445006
"1055",-76.6121893,39.2903848
"1056",-80.0942087,26.9342246
"1057",-96.9990977,33.4564505
"1058",-111.9294334,33.4216759
"1061",-76.7529764,40.9747264
"1062",122.5621063,10.7201501
"1063",122.8254747,10.4461751
"1064",-0.108438,51.5548885
"1066",-122.2913078,37.8271784
"1067",106.8340911,-6.1864864
"1068",-96.7969879,32.7766642
"1069",49.5782321,27.0980011
"1073",-85.7584557,38.2526647
"1074",-73.134961,40.789142
"1083",2.1734035,41.3850639
"1086",70.8021599,22.3038945
"1087",-82.4571776,27.950575
"1089",-90.0489801,35.1495343
"1093",120.9830225,14.7010556
"1095",-87.980138,42.079324
"1098",0.8828329,49.524641
"1099",-117.2374207,43.9899029
"1101",28.0473051,-26.2041028
"1104",-43.5500944,-21.4661575
"1105",-105.2013453,31.9387239
"1106",-61.2335592,10.3757217
"1109",-97.4974838,25.9017472
"1110",-73.6483294,-37.6097143
"1111",120.8785658,14.2456329
"1112",-104.7091322,40.4233142
"1113",-79.6735841,41.6262707
"1115",30.217636,12.862807
"1116",-90.230759,15.783471
"1117",105.8021808,15.1219947
"1120",12.0015948,57.7479767
"1121",-84.3879824,33.7489954
"1122",-75.387693,39.9167783
"1123",-118.2436849,34.0522342
"1124",-95.712891,37.09024
"1125",-74.0776417,40.7281575
"1127",-60.5115471,-31.7413197
"1128",-90.4135417,38.5927634
"1129",-16.4818167,16.0326307
"1130",-90.0348139,34.9553719
"1131",-81.6943605,41.49932
"1135",-47.8821658,-15.7942287
"1136",121.0449768,14.7565784
"1138",-5.6611195,43.5322015
"1147",120.8728615,15.7294899
"1153",-58.2112961,-34.762001
"1156",124.8471625,6.4973963
"1158",-97.3564643,32.7367598
"1161",-120.5542012,43.8041334
"1163",120.5569236,15.1846488
"1164",-86.2999689,32.3668052
"1166",-104.990251,39.7392358
"1170",110.3694896,-7.7955798
"1173",-81.699154,41.506431
"1176",-97.8977555,30.2387999
"1178",-73.641162,40.7489727
"1179",10.3285901,44.8102688
"1182",-85.6023643,44.3148443
"1183",28.2292712,-25.7478676
"1184",-95.973124,36.746805
"1186",-83.6874562,43.0125274
"1201",-80.1917902,25.7616798
"1208",-0.0722785,51.6049674
"1210",-118.5717024,34.432879
"1211",-86.0066386,34.014264
"1212",121.774017,12.879721
"1213",-77.1945247,41.2033216
"1214",-82.342689,27.790397
"1216",-0.1869644,5.6037168
"1218",-111.654923,40.114955
"1219",-106.346771,56.130366
"1220",-97.7430608,30.267153
"1222",8.2397608,50.0782184
"1223",-67.8927472,18.0829054
"1224",-88.0655582,45.8171335
"1225",-122.6587185,45.5122308
"1226",10.990534,33.842742
"1227",-94.493118,37.108883
"1228",120.9589699,14.2990183
"1230",-81.9712719,34.9992469
"1231",-81.706484,30.1660736
"1232",-14.452362,14.497401
"1233",-88.8663883,35.687672
"1234",-105.9446975,35.6912435
"1235",-70.6692655,-33.4488897
"1236",152.792565,-26.996304
"1237",-87.6297982,41.8781136
"1239",39.1925048,21.485811
"1240",-95.7150582,37.0901287
"1242",-106.4850217,31.7618778
"1243",-40.8778586,-14.9683879
"1251",-59.1367167,-37.3287999
"1252",-95.9586037,36.0777172
"1254",-118.4139312,34.059515
"1257",-51.92528,-14.235004
"1258",-86.158068,39.768403
"1270",120.4256805,17.6112538
"1272",-95.6818343,37.418191
"1275",-73.4454009,40.7325997
"1276",-61.222503,10.691803
"1278",-86.5263857,39.165325
"1279",-118.143858,34.1463258
"1280",-87.6705296,41.88962
"1282",-43.3053106,-22.7862985
"1283",-89.4609276,41.5575349
"1284",3.057256,50.62925
"1285",2.6370411,48.8499198
"1286",-80.6017046,34.4868463
"1287",120.9739288,14.7498856
"1289",-79.9223592,-2.1709979
"1290",-49.2648114,-16.6868982
"1291",-106.650422,35.0843859
"1292",121.0029984,14.5896108
"1293",-104.990251,39.7392358
"1296",-116.0958958,44.8911542
"1297",-93.660527,41.5114181
"1301",-80.6892486,34.2273712
"1303",-95.9359977,36.7435531
"1306",-71.542969,-35.675147
"1311",-46.6333094,-23.5505199
"1321",-89.928499,38.591214
"1328",-95.973124,36.746805
"1332",-71.542969,-35.675147
"1336",-97.5164276,35.4675602
"1337",0.340375,46.580224
"1338",-13.5784012,9.6411855
"1339",-82.4571776,27.950575
"1340",-95.9345034,41.2565369
"1341",-75.6971931,45.4215296
"1343",-112.0068669,33.6331647
"1345",-114.5763346,35.1222659
"1346",-46.6333094,-23.5505199
"1347",-91.1871466,30.4514677
"1350",123.3486147,13.5250197
"1354",-111.9400054,33.4255104
"1357",-74.0059728,40.7127753
"1360",-123.1207375,49.2827291
"1361",-88.7878678,43.7844397
"1366",-73.8648268,40.8447819
"1369",-117.4260465,47.6587802
"1378",-78.898619,35.9940329
"1380",-77.297508,18.109581
"1387",-75.1652215,39.9525839
"1388",-83.0309143,40.0141905
"1392",-122.0310733,37.9779776
"1393",-82.6402915,27.7676008
"1394",-97.783051,26.4814565
"1396",-92.2895948,34.7464809
"1397",123.8857747,10.607936
"1398",-93.097702,41.8780025
"1399",-81.5190053,41.0814447
"1400",28.9783589,41.0082376
"1403",-111.893203,40.766861
"1404",-122.397784,37.74067
"1407",-95.7296192,37.2230902
"1409",7.7521113,48.5734053
"1410",-40.4997382,-20.6741197
"1411",-118.1937395,33.7700504
"1416",-97.6231138,35.5901752
"1417",29.742604,40.4844807
"1418",-72.9492703,41.6717648
"1437",30.802498,26.820553
"1441",-71.5500276,-33.0153481
"1442",121.2019468,14.759817
"1443",27.971405,40.353707
"1444",-94.664337,38.880704
"1446",-122.2566367,38.1040864
"1447",2.2188068,48.828508
"1448",124.2452422,8.2280209
"1449",-95.712891,37.09024
"1452",121.114876,14.5864844
"1453",-122.406689,37.7893105
"1456",37.6184915,54.204836
"1457",-74.072092,4.7109886
"1459",-66.9036063,10.4805937
"1460",-118.40853,33.9415889
"1461",120.991442,14.598569
"1463",-82.9000751,32.1656221
"1464",-80.3144276,43.3616211
"1465",-73.5611011,45.52304
"1466",-82.3885783,8.584898
"1467",36.92662,37.576934
"1468",-75.9268747,40.3356483
"1474",110.402376,-7.7325213
"1475",-94.7335709,38.9536174
"1476",-96.8211156,33.0875525
"1479",-96.725974,17.060453
"1492",-93.437152,35.2836227
"1496",-43.1728965,-22.9068467
"1497",-84.5120196,39.1031182
"1499",-95.1584087,30.1849556
"1501",46.6752957,24.7135517
"1504",-2.96083,53.4308294
"1508",-117.9985231,34.1518347
"1510",-81.6943605,41.49932
"1511",-96.7619275,32.88417
"1512",113.921327,-0.789275
"1513",-77.7463652,35.0551638
